Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,112.37000274658203,113.38999938964844,111.51000213623047,113.33000183105469,86.86005401611328,118944600
2010-01-05,113.26000213623047,113.68000030517578,112.8499984741211,113.62999725341797,87.08999633789062,111579900
2010-01-06,113.5199966430664,113.98999786376953,113.43000030517578,113.70999908447266,87.15131378173828,116074400
2010-01-07,113.5,114.33000183105469,113.18000030517578,114.19000244140625,87.51923370361328,131091100
2010-01-08,113.88999938964844,114.62000274658203,113.66000366210938,114.56999969482422,87.81045532226562,126402800
2010-01-11,115.08000183105469,115.12999725341797,114.23999786376953,114.7300033569336,87.93306732177734,106375700
2010-01-12,113.97000122070312,114.20999908447266,113.22000122070312,113.66000366210938,87.11297607421875,163333500
2010-01-13,113.94999694824219,114.94000244140625,113.37000274658203,114.62000274658203,87.84876251220703,161822000
2010-01-14,114.48999786376953,115.13999938964844,114.41999816894531,114.93000030517578,88.08637237548828,115718800
2010-01-15,114.7300033569336,114.83999633789062,113.19999694824219,113.63999938964844,87.09764862060547,212283100
2010-01-19,113.62000274658203,115.12999725341797,113.58999633789062,115.05999755859375,88.18599700927734,139172700
2010-01-20,114.27999877929688,114.44999694824219,112.9800033569336,113.88999938964844,87.28925323486328,216490200
2010-01-21,113.91999816894531,114.2699966430664,111.55999755859375,111.69999694824219,85.61079406738281,344859600
2010-01-22,111.19999694824219,111.73999786376953,109.08999633789062,109.20999908447266,83.70234680175781,345942400
2010-01-25,110.20999908447266,110.41000366210938,109.41000366210938,109.7699966430664,84.13155364990234,186937500
2010-01-26,109.33999633789062,110.47000122070312,109.04000091552734,109.30999755859375,83.77902221679688,211168800
2010-01-27,109.16999816894531,110.08000183105469,108.33000183105469,109.83000183105469,84.17754364013672,271863600
2010-01-28,110.19000244140625,110.25,107.91000366210938,108.56999969482422,83.21184539794922,316104000
2010-01-29,109.04000091552734,109.80000305175781,107.22000122070312,107.38999938964844,82.30743408203125,310677600
2010-02-01,108.1500015258789,109.06999969482422,107.5,109.05999755859375,83.58739471435547,187865000
2010-02-02,109.26000213623047,110.58999633789062,108.87999725341797,110.37999725341797,84.5990982055664,216327900
2010-02-03,109.87999725341797,110.4800033569336,109.51000213623047,109.83000183105469,84.17754364013672,172730700
2010-02-04,108.9800033569336,109.02999877929688,106.41999816894531,106.44000244140625,81.57933807373047,356715700
2010-02-05,106.55999755859375,106.87999725341797,104.58000183105469,106.66000366210938,81.74796295166016,493585800
2010-02-08,106.73999786376953,107.33000183105469,105.80999755859375,105.88999938964844,81.15777587890625,224166900
2010-02-09,107.12999725341797,108.1500015258789,106.2699966430664,107.22000122070312,82.17716217041016,337820500
2010-02-10,107.05000305175781,107.5999984741211,106.11000061035156,107.01000213623047,82.01618957519531,240511500
2010-02-11,106.87000274658203,108.25,106.25,108.12999725341797,82.8746109008789,223591600
2010-02-12,106.98999786376953,108.0999984741211,106.51000213623047,108.04000091552734,82.80561828613281,304622100
2010-02-16,108.86000061035156,109.8499984741211,107.81999969482422,109.73999786376953,84.10855865478516,159317500
2010-02-17,110.2699966430664,110.41000366210938,109.73999786376953,110.26000213623047,84.50711822509766,168845100
2010-02-18,110.08000183105469,111.13999938964844,110.04000091552734,110.91000366210938,85.00525665283203,193708600
2010-02-19,110.62000274658203,111.56999969482422,110.36000061035156,111.13999938964844,85.18157196044922,222684900
2010-02-22,111.55000305175781,111.58000183105469,110.83000183105469,111.16000366210938,85.1968994140625,132346900
2010-02-23,110.86000061035156,111.19999694824219,109.5199966430664,109.80999755859375,84.16219329833984,207497000
2010-02-24,110.13999938964844,111.0,109.86000061035156,110.81999969482422,84.93630981445312,176350700
2010-02-25,109.23999786376953,110.75,108.94000244140625,110.66999816894531,84.82135009765625,259634700
2010-02-26,110.7699966430664,111.12000274658203,110.11000061035156,110.73999786376953,84.87496948242188,173589300
2010-03-01,111.19999694824219,112.0,111.16999816894531,111.88999938964844,85.75637817382812,147709700
2010-03-02,112.37000274658203,112.73999786376953,112.0,112.19999694824219,85.99398803710938,160992400
2010-03-03,112.48999786376953,112.97000122070312,112.0199966430664,112.30000305175781,86.07063293457031,150785000
2010-03-04,112.44999694824219,112.80000305175781,112.02999877929688,112.63999938964844,86.33125305175781,135770400
2010-03-05,113.37000274658203,114.33999633789062,113.0999984741211,114.25,87.56521606445312,176118800
2010-03-08,114.26000213623047,114.5199966430664,114.06999969482422,114.2699966430664,87.58050537109375,114631200
2010-03-09,113.93000030517578,114.98999786376953,113.87000274658203,114.45999908447266,87.72615051269531,154556700
2010-03-10,114.51000213623047,115.27999877929688,114.41000366210938,114.97000122070312,88.11701202392578,186088800
2010-03-11,114.69999694824219,115.4800033569336,114.3499984741211,115.44999694824219,88.48490142822266,160791100
2010-03-12,115.94999694824219,115.97000122070312,115.13999938964844,115.45999908447266,88.49256896972656,162074800
2010-03-15,115.26000213623047,115.56999969482422,114.5999984741211,115.48999786376953,88.51554870605469,146816800
2010-03-16,115.80999755859375,116.5199966430664,115.48999786376953,116.41000366210938,89.22068786621094,168673000
2010-03-17,116.76000213623047,117.4800033569336,116.41999816894531,117.0999984741211,89.74954986572266,177468100
2010-03-18,117.11000061035156,117.2699966430664,116.56999969482422,117.04000091552734,89.70354461669922,196509100
2010-03-19,115.97000122070312,117.29000091552734,115.5199966430664,115.97000122070312,89.24948120117188,226641100
2010-03-22,115.30999755859375,116.80000305175781,115.23999786376953,116.58999633789062,89.72660827636719,184477800
2010-03-23,116.76000213623047,117.51000213623047,116.37999725341797,117.41000366210938,90.35769653320312,182941600
2010-03-24,116.97000122070312,117.43000030517578,115.58000183105469,116.83999633789062,89.91902923583984,196072600
2010-03-25,117.62999725341797,118.16999816894531,116.51000213623047,116.6500015258789,89.7728042602539,223396300
2010-03-26,116.87000274658203,117.41999816894531,116.12000274658203,116.58000183105469,89.71894836425781,205808500
2010-03-29,117.16999816894531,117.52999877929688,116.69000244140625,117.31999969482422,90.2884292602539,134513500
2010-03-30,117.45999908447266,117.83000183105469,116.91000366210938,117.4000015258789,90.3499984741211,145772500
2010-03-31,116.94999694824219,117.5199966430664,116.61000061035156,117.0,90.04216003417969,161078700
2010-04-01,117.80000305175781,118.25,117.0999984741211,117.80000305175781,90.6578369140625,161215200
2010-04-05,118.25,118.83999633789062,117.91999816894531,118.76000213623047,91.39664459228516,105847600
2010-04-06,118.41999816894531,119.25,118.29000091552734,119.04000091552734,91.61213684082031,110384200
2010-04-07,118.80000305175781,119.36000061035156,117.80999755859375,118.36000061035156,91.08880615234375,184576300
2010-04-08,117.94999694824219,118.97000122070312,117.5999984741211,118.7699966430664,91.40432739257812,158704000
2010-04-09,119.0199966430664,119.5999984741211,118.80000305175781,119.55000305175781,92.00458526611328,133006500
2010-04-12,119.69999694824219,120.05000305175781,119.55999755859375,119.73999786376953,92.15083312988281,110279000
